@RELATION relevance
@ATTRIBUTE tweet STRING
@ATTRIBUTE class 	{1, 0}
@DATA
"RT @ConradNL: Hebben de Australiërs wel gelet op dit waarschuwingsbord? #ausned #ausnet #WK2014 @Socceroos #dtv http://t.co/Pjt1ro4a9i",0
"De markt is er weer klaar voor!! Kom maar op met die doelpunten #ausned http://t.co/DNeVDDzh5k",0
"Sinds wanneer lijkt geel op oranje?? #ausned #oranje",0
"Nog steeds geen goal…. #ausned",0
"#marathonradio @MatyRyan voedingsleer+ australië-nederland= afgeleid zijn als maty langs het scherm passeert",0
"Kom op Oranje, tik Australië weg zodat ze groen en geel zien! #ausned #twelftal",0
"RT @StevenBouquet: Nog steeds geen goal…. #ausned",0
"Here we gooo! Kom op, leeuwen!!! Ehm... 1-2 voor Nederland? #dangaanwedatregelen #ausned",0
"Blijkbaar is het verboden om de jong een kaart te geven #ausned #wk2014",0
"Ik heb speciaal iets roods aangetrokken, met zwart en groen (kaki). #ausned",0
"Wat een smerige overtreding van Cahill. Daar had hij ook gewoon rood voor kunnen geven. #ausned",0
"Je draagt onze vlag verkeerd om. Het is rood, wit blauw #ausned #wk2014 http://t.co/EWfRvKfQ1a via @WorldCup_G0AL",0
"RT @QmusicNL: Hey Robin van Persie, heb je de tekst weer uit je hoofd geleerd? > http://t.co/UJJ2fpBn9H #ausned",0
"Zeg grensrechter geleidehond nodig! #ausned",0
"toeter ratel + oranje stemming = wachten op een doelpunt #ausned",0
"@MariovanderEnde leek me gewoon geel #ausned",0
"Blijft mooi al dat geel/groen #ausned",0
"ik heb het boek gelezen. nederland gaat winnen",0
"Robben, nu moet je niet lachen. Dat was bijna een goal! #ausned",0
"Dat was geen glaszuiver doelpunt van Robben. #ausned #twelftal",0
". geest nederlands ritme australia .. RVP mooie goal maken",0
"Dat was geen glaszuiver doelpunt van Robben. #ausned #twelftal",0
"RT @HeraclesAlmelo: Voorspelling voor zo #ausned 2-4 en een doelpunt van onze almelose Aussie",0
"Ik erger me nu al groen en geel. #ausned #twelftal",0
"Waarom speel je zo 😣, nederland gaat kaarten krijgen.",0
"RT @MerijnAAA: Ik erger me nu al groen en geel. #ausned #twelftal",0
"@Waterspraakval T'is al bijna pauze en nog steeds geen doelpunten, pleur de oranje meuk maar weer op zolder. #ausned",0
"Boeken weg gelegd en nederland kijken!",0
"Pak de kaart er maar bij, het is tijd voor… #ausned #twelftal http://t.co/drOoes7smA",0
"dragen al die australiërs nou gele kaarten??",0
"'Als je een rode kaart krijgt, moet je naar de bank om na te denken.' Ik kijk #ausned met #kleuterin",0
"Was dat geen geel voor die overtreding op Blind? #ausned #wk2014",0
"Ook tijdens de wedstrijd #ausned gewoon bereikbaar om jouw vakantie te regelen. Zodat je na het #wk2014 heerlijk kunt gaan genieten!",0
"RT @Heineken_NL: Pak de kaart er maar bij, het is tijd voor… #ausned #twelftal http://t.co/drOoes7smA",0
"Zijn gewoon 2 gele kaarten, overtredingen op Indi en Blind, scheids is er blind voor….#ausned",0
"RT @zondervrienden: dragen al die australiërs nou gele kaarten??",0
